# mode, bound, levels, #non-zeros, #tree-node, earth_value, tree_nodes
2
60,70
1.0,8.2,8.4
205
8
30,65,3.584962500721156
1,43,1.0
11,60,1.0
20,65,5.882643049361842
8,63,7.9600019320680815
38,67,7.312882955284356
9,62,8.845490050944376
47,68,6.0
10,61,5.357552004618084
17,63,7.098032082960526
0,61,10.31628153174622
35,66,4.906890595608519
21,64,8.129283016944967
12,64,4.906890595608519
17,64,8.651051691178928
30,66,7.7615512324444795
3,62,9.719388820942083
32,66,7.78135971352466
4,57,1.0
8,60,3.807354922057604
25,66,3.169925001442312
5,60,7.087462841250339
19,65,4.954196310386875
49,68,5.087462841250339
10,62,8.321928094887362
1,54,2.807354922057604
0,58,12.385592813601363
16,63,8.0
11,63,9.537218400538595
2,53,1.0
1,59,11.19537220740274
17,62,3.169925001442312
13,61,1.0
14,64,7.2384047393250786
36,67,7.366322214245816
3,61,10.912140856295721
4,62,10.030667136246942
18,65,2.807354922057604
0,1,1.584962500721156
5,63,5.857980995127572
0,52,5.906890595608519
21,65,7.546894459887636
45,68,6.491853096329675
51,68,2.0
0,6,1.584962500721156
28,66,7.3750394313469245
2,54,1.0
14,61,1.584962500721156
46,68,5.643856189774724
12,61,3.584962500721156
18,62,1.0
42,67,4.584962500721156
20,63,4.700439718141093
12,62,7.584962500721156
3,56,1.584962500721156
7,59,1.584962500721156
14,63,8.710806433699352
50,69,4.584962500721156
59,69,1.0
56,69,3.584962500721156
0,49,3.321928094887362
29,66,7.6653359171851765
1,60,11.966865900387539
23,65,8.280770770130603
7,60,3.700439718141092
2,59,9.124121311829187
42,68,6.22881869049588
48,68,5.0
3,55,1.0
41,67,6.491853096329675
9,61,6.189824558880018
52,69,4.857980995127572
0,46,3.321928094887362
32,65,2.321928094887362
40,67,7.03342300153745
2,60,10.861862340059151
1,56,6.491853096329675
4,58,2.584962500721156
44,68,6.266786540694901
8,61,6.9886846867721655
25,65,8.353146825498083
0,8,1.0
5,59,4.169925001442312
19,64,8.794415866350105
