# #pt: 65889, #label: 7
0,0
1,3
2,1
3,2
4,1
5,5
6,5
7,2
8,5
9,5
10,5
11,1
12,-1
13,3
14,2
15,3
16,1
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,2
25,2
26,-1
27,2
28,2
29,3
30,1
31,3
32,2
33,4
34,0
35,4
36,3
37,5
38,0
39,3
40,0
41,3
42,5
43,5
44,5
45,1
46,1
47,5
48,1
49,2
50,0
51,2
52,4
53,2
54,2
55,-1
56,1
57,0
58,1
59,3
60,5
61,2
62,2
63,4
64,1
65,1
66,1
67,1
68,1
69,1
70,1
71,-1
72,2
73,2
74,1
75,2
76,2
77,-1
78,0
79,1
80,-1
81,2
82,1
83,2
84,2
85,2
86,2
87,5
88,2
89,0
90,1
91,1
92,1
93,1
94,1
95,0
96,0
97,1
98,0
99,0
100,0
101,0
102,-1
103,0
104,0
105,0
106,2
107,0
108,2
109,2
110,1
111,1
112,1
113,0
114,-1
115,1
116,1
117,1
118,2
119,2
120,4
121,1
122,2
123,2
124,2
125,5
126,5
127,5
128,5
129,-1
130,2
131,2
132,1
133,5
134,1
135,5
136,-1
137,0
138,0
139,0
140,1
141,4
142,5
143,5
144,5
145,5
146,1
147,1
148,3
149,2
150,1
151,1
152,1
153,1
154,-1
155,5
156,1
157,5
158,2
159,2
160,2
161,0
162,1
163,0
164,2
165,2
166,2
167,0
168,4
169,-1
170,0
171,0
172,0
173,1
174,1
175,4
176,1
177,2
178,5
179,2
180,2
181,2
182,2
183,2
184,3
185,2
186,2
187,5
188,5
189,2
190,1
191,1
192,5
193,2
194,1
195,0
196,0
197,0
198,0
199,1
200,1
201,1
202,2
203,2
204,4
205,4
206,4
207,5
208,-1
209,0
210,5
211,3
212,1
213,1
214,5
215,1
216,1
217,-1
218,0
219,1
220,4
221,4
222,1
223,1
224,1
225,1
226,3
227,2
228,4
229,2
230,1
231,3
232,1
233,2
234,5
235,5
236,-1
237,1
238,5
239,5
240,1
241,1
242,1
243,0
244,1
245,1
246,5
247,1
248,2
249,0
250,0
251,0
252,-1
253,1
254,4
255,0
256,1
257,2
258,-1
259,1
260,1
261,0
262,1
263,5
264,-1
265,1
266,5
267,4
268,4
269,5
270,1
271,5
272,-1
273,5
274,1
275,2
276,5
277,0
278,5
279,4
280,0
281,3
282,5
283,-1
284,3
285,1
286,3
287,5
288,0
289,5
290,0
291,2
292,1
293,2
294,2
295,1
296,2
297,0
298,2
299,1
300,2
301,1
302,-1
303,4
304,0
305,0
306,0
307,-1
308,1
309,5
310,4
311,3
312,5
313,5
314,4
315,0
316,1
317,1
318,1
319,5
